Archivos,Size,Fechas
/workspaces/exercise-terminal-challenge/thecmdchallenge/boringfolder/even-more-boring/i-cant-believe-how-boring/the-ultimate-boring-inception/the-mostboring-text.txt,125,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/boringfolder/even-more-boring/i-cant-believe-how-boring/the-ultimate-boring-inception/myfirstcopy.txt,125,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/rigoberto.jpg,39760,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/borat.success.jpg,23817,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/einstein.png,146291,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/scared-baby.jpg,29596,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/regexer.1.css,2730,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/rigoberto.1.jpg,39760,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/keyboard.html,5802,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/regexer.js,21931,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/baby.jpg,112284,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/keyboard.1.html,5802,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/scared-baby.1.jpg,29596,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/kids.1.jpg,57184,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/view-source_projects.breathecode.local_p_php_senior_msql_mysql-tester_.htm,396,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/mouse.html,4460,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/script.js,1461,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/baby.success.1.jpg,26481,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/einstein.1.png,146291,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/mouse.1.html,4460,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/valid.png,1479,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/regexer.css,2730,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/forms.1.html,4597,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/baby.success.jpg,26481,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/forms.html,4597,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/frame.1.html,3732,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/invalid.png,9967,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/kids.jpg,57184,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/borat.success.1.jpg,23817,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/frame.html,3732,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/regexer.1.js,21931,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/the-most-funny/lol/the-ultimate-joke.txt,71,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/funcode/images/hello/invalid.png,9967,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/.github/workflows/validate-integrity.yml,284,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/slides/preview.png,148033,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/slides/data.json,1796,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/slides/index.js,3532,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/.devcontainer/devcontainer.json,785,23/10/2023 18:33:01
